ID,prompt,response,order,rater,ratings,age,sex,cse1,cse2,cse3,cse4,cse5,cse6,cse7,cse8,cse9,cse10,cse11
1,ladrillo,construir inmuebles,1,rater1,1,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,construir inmuebles,1,rater2,1,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,construir inmuebles,1,rater3,1,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,asientos,2,rater1,2,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,asientos,2,rater2,2,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,asientos,2,rater3,2,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,soporte o base,3,rater1,2,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,soporte o base,3,rater2,1,19,0,4,4,5,5,5,4,4,5,4,4,3
1,ladrillo,soporte o base,3,rater3,1,19,0,4,4,5,5,5,4,4,5,4,4,3
2,ladrillo,juegos o juguetes,1,rater1,4,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,juegos o juguetes,1,rater2,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,juegos o juguetes,1,rater3,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,herramienta,2,rater1,3,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,herramienta,2,rater2,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,herramienta,2,rater3,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,escaleras o escalones,3,rater1,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,escaleras o escalones,3,rater2,1,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,escaleras o escalones,3,rater3,1,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,fogatas,4,rater1,3,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,fogatas,4,rater2,1,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,fogatas,4,rater3,1,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,pintar o dibujar,5,rater1,3,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,pintar o dibujar,5,rater2,2,22,1,4,3,4,4,4,5,4,4,4,4,5
2,ladrillo,pintar o dibujar,5,rater3,2,22,1,4,3,4,4,4,5,4,4,4,4,5
3,ladrillo,construir inmuebles,1,rater1,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,construir inmuebles,1,rater2,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,construir inmuebles,1,rater3,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,escaleras o escalones,2,rater1,2,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,escaleras o escalones,2,rater2,2,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,escaleras o escalones,2,rater3,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,soporte o base,3,rater1,2,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,soporte o base,3,rater2,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,soporte o base,3,rater3,1,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,equilibrar o balancear,4,rater1,3,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,equilibrar o balancear,4,rater2,2,22,0,4,4,4,4,3,4,5,4,3,4,4
3,ladrillo,equilibrar o balancear,4,rater3,2,22,0,4,4,4,4,3,4,5,4,3,4,4
4,ladrillo,construir inmuebles,1,rater1,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,construir inmuebles,1,rater2,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,construir inmuebles,1,rater3,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,mesas,2,rater1,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,mesas,2,rater2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,mesas,2,rater3,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,juegos o juguetes,3,rater1,4,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,juegos o juguetes,3,rater2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,juegos o juguetes,3,rater3,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,delimitar superficies ,4,rater1,3,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,delimitar superficies ,4,rater2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,delimitar superficies ,4,rater3,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,soporte o base,5,rater1,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,soporte o base,5,rater2,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,soporte o base,5,rater3,1,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,equilibrar o balancear,6,rater1,3,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,equilibrar o balancear,6,rater2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,equilibrar o balancear,6,rater3,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,asientos,7,rater1,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,asientos,7,rater2,2,22,0,5,3,5,5,5,4,3,3,4,5,3
4,ladrillo,asientos,7,rater3,2,22,0,5,3,5,5,5,4,3,3,4,5,3
5,ladrillo,construir inmuebles,1,rater1,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,construir inmuebles,1,rater2,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,construir inmuebles,1,rater3,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,asientos,2,rater1,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,asientos,2,rater2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,asientos,2,rater3,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,soporte o base,3,rater1,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,soporte o base,3,rater2,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,soporte o base,3,rater3,1,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,"obstÃ¡culo para detener, frenar o topar",4,rater1,3,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,"obstÃ¡culo para detener, frenar o topar",4,rater2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,"obstÃ¡culo para detener, frenar o topar",4,rater3,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,pintar o dibujar,5,rater1,3,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,pintar o dibujar,5,rater2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,pintar o dibujar,5,rater3,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,pisa papeles,6,rater1,4,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,pisa papeles,6,rater2,2,19,0,4,5,5,5,4,4,4,4,3,4,5
5,ladrillo,pisa papeles,6,rater3,2,19,0,4,5,5,5,4,4,4,4,3,4,5
6,ladrillo,construir inmuebles,1,rater1,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,construir inmuebles,1,rater2,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,construir inmuebles,1,rater3,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,juegos o juguetes,10,rater1,4,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,juegos o juguetes,10,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,juegos o juguetes,10,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,moldear o aplanar,11,rater1,5,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,moldear o aplanar,11,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,moldear o aplanar,11,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,asientos,2,rater1,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,asientos,2,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,asientos,2,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,esculturas,3,rater1,5,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,esculturas,3,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,esculturas,3,rater3,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,"tallar, grabar o rayar",4,rater1,3,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,"tallar, grabar o rayar",4,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,"tallar, grabar o rayar",4,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,escribir,5,rater1,3,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,escribir,5,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,escribir,5,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,pesas deporte,6,rater1,4,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,pesas deporte,6,rater2,3,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,pesas deporte,6,rater3,3,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,pisos,7,rater1,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,pisos,7,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,pisos,7,rater3,1,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,romper o destruir ,8,rater1,4,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,romper o destruir ,8,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,romper o destruir ,8,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,equilibrar o balancear,9,rater1,3,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,equilibrar o balancear,9,rater2,2,20,1,4,4,3,4,3,2,4,4,3,4,4
6,ladrillo,equilibrar o balancear,9,rater3,2,20,1,4,4,3,4,3,2,4,4,3,4,4
7,ladrillo,construir inmuebles,1,rater1,1,20,0,5,5,4,4,5,3,5,4,5,5,5
7,ladrillo,construir inmuebles,1,rater2,1,20,0,5,5,4,4,5,3,5,4,5,5,5
7,ladrillo,construir inmuebles,1,rater3,1,20,0,5,5,4,4,5,3,5,4,5,5,5
7,ladrillo,soporte o base,3,rater1,2,20,0,5,5,4,4,5,3,5,4,5,5,5
7,ladrillo,soporte o base,3,rater2,1,20,0,5,5,4,4,5,3,5,4,5,5,5
