"ID","prompt","response","set","lab","order","rater1","rater2","rater3","latency","X1","blockcode","quality","load","ins","condition","con_num","position","start_load","start_bc","sumlatency","flex","Intervalle","fbin"
1,"Axt","hacken",14,8,3,1,1,1,3410,5,"aut_fluent",1,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,3410,3,1,1
1,"Trompete","tröten",14,8,5,1,1,1,2409,166,"aut_fluent",1,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,5819,6,1,1
1,"Erbse","zählen",14,8,7,3,1,2,3081,37,"aut_fluent",2,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,8900,15,1,1
1,"Tisch","darauf essen",14,8,9,1,1,1,4140,124,"aut_fluent",1,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,13040,1,1,1
1,"Tisch","darauf tanzen",14,8,11,2,2,3,5510,125,"aut_fluent",2.333333333,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,18550,5,1,1
1,"Axt","jemanden bedrohen",14,8,13,2,2,2,5777,7,"aut_fluent",2,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,24327,14,1,1
1,"Erbse","kochen",14,8,15,1,1,1,3682,33,"aut_fluent",1,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,28009,21,1,1
1,"Trompete","musizieren",14,8,17,1,1,1,6078,164,"aut_fluent",1,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,34087,6,1,0
1,"Axt","werfen",14,8,19,2,1,2,2353,20,"aut_fluent",1.666666667,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,36440,5,1,0
1,"Erbse","zerdrücken",14,8,21,1,1,2,6491,38,"aut_fluent",1.333333333,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,42931,100,1,1
1,"Tisch","aufbauen",14,8,23,1,1,1,3190,123,"aut_fluent",1,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,46121,3,1,0
1,"Trompete","polieren",14,8,25,1,1,2,3414,165,"aut_fluent",1.333333333,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,49535,3,1,0
1,"Erbse","zermahlen",14,8,27,2,1,2,3653,39,"aut_fluent",1.666666667,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,53188,2,1,1
1,"Tisch","stapeln",14,8,29,1,1,2,4058,128,"aut_fluent",1.333333333,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,57246,8,1,1
1,"Trompete","Mundstück anschrauben",14,8,31,2,2,3,10639,163,"aut_fluent",2.333333333,FALSE,FALSE,"kein load(viel --> kreativ) --> load(viel --> kreativ)",1,1,FALSE,FALSE,67885,3,2,0
