"ID","prompt","response","set","rater1","rater2","CAAC_TOT","NEO_OPEN","Openness"
1,"accendino","fai luce accendendo la fiamma",2,1,1,1.7555555555555555,NA,5.5
1,"accendino","strumento musicale",2,2,3,1.7555555555555555,NA,5.5
1,"accendino","usarlo come martello per attaccare un chiodino",2,2,3,1.7555555555555555,NA,5.5
1,"accendino","usarlo come righello",2,2,3,1.7555555555555555,NA,5.5
1,"accetta","appenderla al muro",2,2,2,1.7555555555555555,NA,5.5
1,"accetta","usarla al posto del cltello per tagliare la pizza",2,4,4,1.7555555555555555,NA,5.5
1,"appendino","appenderci collane anziché pantaloni o giacche",2,2,2,1.7555555555555555,NA,5.5
1,"appendino","appenderla al contrario",2,1,2,1.7555555555555555,NA,5.5
1,"appendino","suonarla come se fosse uno strumento musicale",2,3,2,1.7555555555555555,NA,5.5
1,"appendino","usarla come altalena per uccelli",2,4,4,1.7555555555555555,NA,5.5
1,"aspirapolvere","aprirla e usarla come portaogetti e come cestino per la spazzatura",2,3,2,1.7555555555555555,NA,5.5
1,"aspirapolvere","trasportarci un bambino come se fosse un passeggino",2,2,2,1.7555555555555555,NA,5.5
1,"Attaccapanni","altalena per uccelli",1,4,3,1.69,31,NA
1,"Attaccapanni","porta asciugamani",1,2,2,1.69,31,NA
1,"banana","usarla come centrotavola o come fermaporta",2,2,2,1.7555555555555555,NA,5.5
1,"Barile","accessorio da ristorante",1,2,2,1.69,31,NA
1,"Barile","baule",1,2,2,1.69,31,NA
1,"Barile","cuccia per cani",1,2,2,1.69,31,NA
1,"Barile","mobile",1,2,2,1.69,31,NA
1,"Barile","sedia",1,2,2,1.69,31,NA
1,"Barile","tavolo",1,2,2,1.69,31,NA
1,"Bottiglia di plastica","borsa dell'acqua calda",1,2,3,1.69,31,NA
1,"Bottiglia di plastica","pesetto da palestra",1,2,2,1.69,31,NA
1,"Bottiglia di plastica","portapenne",1,2,2,1.69,31,NA
1,"Bottiglia di plastica","spaventapasseri",1,4,3,1.69,31,NA
1,"Bottiglia di plastica","tavolozza per acquarelli",1,3,4,1.69,31,NA
1,"Bottiglia di plastica","trappola per gamberetti",1,4,3,1.69,31,NA
1,"cappello","appenderlo al muro",2,2,2,1.7555555555555555,NA,5.5
1,"cappello","appenderlo come quadro",2,2,2,1.7555555555555555,NA,5.5
1,"cappello","colorarlo",2,2,3,1.7555555555555555,NA,5.5
1,"cappello","indossarlo",2,1,1,1.7555555555555555,NA,5.5
1,"cappello","metterlo sul ginocchio",2,2,2,1.7555555555555555,NA,5.5
1,"cappello","riempirlo di mele e usarlo come cestino",2,2,2,1.7555555555555555,NA,5.5
1,"cappello","tenerlo in mano",2,2,2,1.7555555555555555,NA,5.5
1,"cappello","usarlo come borsetta aggiungendo una catena",2,4,3,1.7555555555555555,NA,5.5
1,"cappello","usarlo come soprammobile",2,2,2,1.7555555555555555,NA,5.5
1,"cestino","altalena per bambini",2,2,2,1.7555555555555555,NA,5.5
1,"cestino","culla",2,2,2,1.7555555555555555,NA,5.5
1,"cestino","metterci un bambino",2,2,2,1.7555555555555555,NA,5.5
1,"cestino","metterlo a cappello",2,2,2,1.7555555555555555,NA,5.5
1,"cestino","usarlo come borsetta",2,3,2,1.7555555555555555,NA,5.5
1,"cestino","usarlo come cappello",2,2,2,1.7555555555555555,NA,5.5
1,"coltello","attaccarci un chiodo (usarlo come martello)",2,3,3,1.7555555555555555,NA,5.5
1,"coltello","fermaporta",2,2,2,1.7555555555555555,NA,5.5
1,"coltello","togliere le graffette che uniscono i fogli",2,2,3,1.7555555555555555,NA,5.5
1,"coltello","usare la punta per bucare un foglio",2,2,2,1.7555555555555555,NA,5.5
1,"coltello","usarlo come righello",2,3,3,1.7555555555555555,NA,5.5
1,"coltello","usarlo come spatola per distribuire il catrame",2,3,2,1.7555555555555555,NA,5.5
1,"coltello","usarlo per incidere scritte su una tavola di legno",2,2,2,1.7555555555555555,NA,5.5
1,"cucchiaio","appenderlo come ciondolo",2,3,2,1.7555555555555555,NA,5.5
1,"cucchiaio","fermaglio per capelli",2,2,2,1.7555555555555555,NA,5.5
1,"cucchiaio","scavare le buche sulla sabbia",2,2,2,1.7555555555555555,NA,5.5
1,"cucchiaio","specchio",2,2,2,1.7555555555555555,NA,5.5
1,"cucchiaio","usarlo come specchio",2,2,2,1.7555555555555555,NA,5.5
1,"graffetta","aprirla e cambiare forma",2,2,2,1.7555555555555555,NA,5.5
1,"graffetta","ciondolo per bracciale o collana",2,2,2,1.7555555555555555,NA,5.5
1,"graffetta","usarla come gancio per appendere fogli",2,2,2,1.7555555555555555,NA,5.5
1,"graffetta","usarla come orecchino",2,2,2,1.7555555555555555,NA,5.5
1,"guanto","appenderlo come quadro",2,3,3,1.7555555555555555,NA,5.5
1,"guanto","gonfiarlo a palloncino",2,3,2,1.7555555555555555,NA,5.5
1,"guanto","indossarlo al contrario",2,2,1,1.7555555555555555,NA,5.5
1,"guanto","indossarlo sul piede",2,2,2,1.7555555555555555,NA,5.5
1,"guanto","metterlo in testa",2,2,2,1.7555555555555555,NA,5.5
1,"guanto","riempirlo di riso",2,2,2,1.7555555555555555,NA,5.5
1,"lampadina","colorarla",2,2,2,1.7555555555555555,NA,5.5
1,"lampadina","romperla",2,2,2,1.7555555555555555,NA,5.5
1,"lampadina","usarla come soprammobile",2,2,2,1.7555555555555555,NA,5.5
1,"Lampadina","decorazione di natale",1,2,2,1.69,31,NA
1,"libro","usarlo come fermacarte",2,2,2,1.7555555555555555,NA,5.5
1,"libro","usarlo come piedistallo",2,2,2,1.7555555555555555,NA,5.5
1,"libro","vuotarlo e usarlo come portagioie",2,2,2,1.7555555555555555,NA,5.5
1,"Libro","ferma porte",1,2,2,1.69,31,NA
1,"Libro","origami",1,2,2,1.69,31,NA
1,"Libro","portafiori",1,2,3,1.69,31,NA
1,"Libro","si può usare per correggere la postura",1,3,4,1.69,31,NA
1,"martello","appenderlo come quadro",2,4,4,1.7555555555555555,NA,5.5
1,"martello","aprirci le bottiglie",2,2,3,1.7555555555555555,NA,5.5
1,"martello","romperci le noci",2,2,2,1.7555555555555555,NA,5.5
1,"mattone","colorarlo",2,2,2,1.7555555555555555,NA,5.5
1,"mattone","lanciarlo",2,2,2,1.7555555555555555,NA,5.5
1,"mattone","mettere dentro gli spazi le penne (portapenne)",2,2,2,1.7555555555555555,NA,5.5
1,"mattone","romperci un vetro",2,2,2,1.7555555555555555,NA,5.5
1,"mattone","usarlo come formina per i castelli di sabbia",2,3,3,1.7555555555555555,NA,5.5
1,"mattone","usarlo come piedistallo",2,2,2,1.7555555555555555,NA,5.5
1,"Sedia","decorazione di interni come porta fiori appesa",1,2,2,1.69,31,NA
1,"Sedia","piano rialzato",1,2,2,1.69,31,NA
1,"Sedia","una casetta non finita",1,4,3,1.69,31,NA
2,"accendino","oggetto per l'incisione dei nomi",2,2,3,1.5222222222222221,NA,5
2,"accetta","appendino",2,2,2,1.5222222222222221,NA,5
2,"accetta","apribuste",2,3,3,1.5222222222222221,NA,5
2,"accetta","la parte inferiore potrebbe diventare un bastone da lanciare ai cani",2,3,2,1.5222222222222221,NA,5
2,"accetta","oggetto per portare gli alberi",2,3,3,1.5222222222222221,NA,5
2,"accetta","parte superiore per afferrare i salumi",2,3,3,1.5222222222222221,NA,5
2,"appendino","boomerang",2,2,2,1.5222222222222221,NA,5
2,"appendino","curvilinee",2,3,3,1.5222222222222221,NA,5
2,"appendino","mattarello (la parte più bassa)",2,3,3,1.5222222222222221,NA,5
2,"appendino","maxi orecchini",2,3,3,1.5222222222222221,NA,5
2,"appendino","stecca per geometri",2,2,3,1.5222222222222221,NA,5
2,"aspirapolvere","asciugatutto",2,2,2,1.5222222222222221,NA,5
2,"aspirapolvere","aspirapolvere",2,1,1,1.5222222222222221,NA,5
2,"aspirapolvere","impianto di areazione",2,3,3,1.5222222222222221,NA,5
2,"aspirapolvere","microfono",2,3,3,1.5222222222222221,NA,5
2,"Attaccapanni","arco",1,2,2,1.64,21,NA
